Sample_Time,Sample_Year,Site,PSP,TREE_ID,SPCD,STAT_new,DBH_cm,TLHT_m,CRCL,PREVDBH_cm,PREVTLHT_m,PREVCRCL,STAT,DBH_live,TLHT_live,CRCL_live
3,2005,1021,10062,104917,4,0,16.9418,19.2024,2,16.764,18.5928,,0,16.9418,19.2024,2
4,2010,1021,10062,104917,4,0,17.1196,20.7264,2,16.9418,19.2024,,0,17.1196,20.7264,2
1,1995,1021,10062,104918,4,0,10.795,13.4112,4,,,,0,10.795,13.4112,4
1,1995,1021,10062,104919,4,0,11.938,18.5928,3,,,,0,11.938,18.5928,3
2,2000,1021,10062,104919,4,0,12.2682,20.1168,3,11.938,18.5928,,0,12.2682,20.1168,3
3,2005,1021,10062,104919,4,0,12.446,20.1168,2,12.2682,20.1168,,0,12.446,20.1168,2
1,1995,1021,10062,104920,4,0,11.303,17.9832,3,,,,0,11.303,17.9832,3
2,2000,1021,10062,104920,4,0,11.43,19.2024,3,11.303,17.9832,,0,11.43,19.2024,3
3,2005,1021,10062,104920,4,0,11.4808,17.0688,3,11.43,19.2024,,0,11.4808,17.0688,3
1,1995,1021,10062,104921,4,0,18.7452,21.336,1,,,,0,18.7452,21.336,1
2,2000,1021,10062,104921,4,0,19.7866,22.2504,1,18.7452,21.336,,0,19.7866,22.2504,1
3,2005,1021,10062,104921,4,0,20.447,21.336,2,19.7866,22.2504,,0,20.447,21.336,2
4,2010,1021,10062,104921,4,0,21.0566,21.336,2,20.447,21.336,,0,21.0566,21.336,2
1,1995,1021,10062,104922,4,0,14.351,17.3736,2,,,,0,14.351,17.3736,2
1,1995,1021,10062,104923,4,0,15.113,18.8976,2,,,,0,15.113,18.8976,2
2,2000,1021,10062,104923,4,0,15.6972,19.812,1,15.113,18.8976,,0,15.6972,19.812,1
3,2005,1021,10062,104923,4,0,16.1036,19.812,2,15.6972,19.812,,0,16.1036,19.812,2
4,2010,1021,10062,104923,4,0,16.51,20.1168,2,16.1036,19.812,,0,16.51,20.1168,2
1,1995,1021,10062,104924,4,0,14.5796,18.8976,2,,,,0,14.5796,18.8976,2
2,2000,1021,10062,104924,4,0,15.1638,19.812,2,14.5796,18.8976,,0,15.1638,19.812,2
3,2005,1021,10062,104924,4,0,15.4686,19.812,2,15.1638,19.812,,0,15.4686,19.812,2
4,2010,1021,10062,104924,4,0,15.6972,20.4216,2,15.4686,19.812,,0,15.6972,20.4216,2
1,1995,1021,10062,104925,4,0,19.4818,19.812,1,,,,0,19.4818,19.812,1
2,2000,1021,10062,104925,4,0,20.2184,20.7264,1,19.4818,19.812,,0,20.2184,20.7264,1
3,2005,1021,10062,104925,4,0,20.6502,20.7264,2,20.2184,20.7264,,0,20.6502,20.7264,2
4,2010,1021,10062,104925,4,0,20.955,21.336,2,20.6502,20.7264,,0,20.955,21.336,2
1,1995,1021,10062,104926,4,0,9.4742,14.0208,4,,,,0,9.4742,14.0208,4
1,1999,1067,10201,114235,4,0,7.8232,10.9728,2,,,,0,7.8232,10.9728,2
2,2004,1067,10201,114235,4,0,8.1026,10.9728,2,7.8232,10.9728,,0,8.1026,10.9728,2
3,2009,1067,10201,114235,4,0,8.1788,11.2776,2,8.1026,10.9728,,0,8.1788,11.2776,2
4,2014,1067,10201,114235,4,0,8.1788,11.2776,2,8.1788,11.2776,,0,8.1788,11.2776,2
3,2005,1021,10062,104929,4,0,16.129,14.3256,3,16.129,0,,0,16.129,14.3256,3
1,1995,1021,10062,104930,4,0,20.7772,21.9456,1,,,,0,20.7772,21.9456,1
2,2000,1021,10062,104930,4,0,21.4884,22.86,1,20.7772,21.9456,,0,21.4884,22.86,1
