site,psp,year,ndvi.max
1067,10201,1987,0.820355754
1067,10201,1994,0.793314987
1067,10201,1995,0.815117436
1067,10201,1996,0.759753742
1067,10201,1997,0.778304824
1067,10201,1999,0.803799045
1067,10201,2000,0.76453623
1067,10201,2001,0.829088746
1067,10201,2002,0.829754624
1067,10201,2003,0.791695852
1067,10201,2004,0.787320379
1067,10201,2005,0.694393551
1067,10201,2006,0.718042874
1067,10201,2007,0.709219938
1067,10201,2008,0.703362462
1067,10201,2009,0.688417698
1067,10201,2010,0.713912165
1067,10201,2011,0.686770193
1067,10201,2012,0.695427885
1067,10201,2013,0.722506472
1067,10201,2014,0.711846548
1067,10201,2015,0.702832289
1067,10201,2016,0.717909664
1067,10201,2017,0.722975368
1067,10201,2018,0.71579566
1079,10233,1995,0.810258406
1079,10233,1999,0.756992185
1079,10233,2000,0.779414687
1079,10233,2001,0.76897373
1079,10233,2002,0.7953823
1079,10233,2003,0.798438814
1079,10233,2004,0.741821608
1079,10233,2005,0.662494892
1079,10233,2006,0.699061235
1079,10233,2007,0.728131716
1079,10233,2008,0.752507
1079,10233,2009,0.725174825
1079,10233,2010,0.723336888
1079,10233,2011,0.710310505
1079,10233,2012,0.778711467
1079,10233,2013,0.787364102
1079,10233,2014,0.759689478
1079,10233,2015,0.742827197
1079,10233,2016,0.679218152
1079,10233,2017,0.715722827
1079,10233,2018,0.711452937
1101,10298,1994,0.797748497
1101,10298,1995,0.819843875
1101,10298,1996,0.791612456
1101,10298,1997,0.802399477
1101,10298,1999,0.770493956
1101,10298,2000,0.637333008
1101,10298,2001,0.732311355
1101,10298,2002,0.745305227
1101,10298,2003,0.771102149
1101,10298,2004,0.7304005
1101,10298,2005,0.704390559
1101,10298,2006,0.721985122
1101,10298,2007,0.719129856
1101,10298,2008,0.680954502
1101,10298,2009,0.731019659
1101,10298,2010,0.74493728
1101,10298,2011,0.731017956
1101,10298,2012,0.788482137
1101,10298,2013,0.761867602
1101,10298,2014,0.755338081
1101,10298,2015,0.742540543
1101,10298,2016,0.739651371
1101,10298,2017,0.756129452
1101,10298,2018,0.751860103
1101,10299,1994,0.763585479
1101,10299,1995,0.797669549
1101,10299,1996,0.722318359
1101,10299,1997,0.752661643
1101,10299,1999,0.72937473
1101,10299,2000,0.621796683
1101,10299,2001,0.656005309
1101,10299,2002,0.703340606
1101,10299,2003,0.673367908
1101,10299,2004,0.660902176
1101,10299,2005,0.650984962
1101,10299,2006,0.654371558
1101,10299,2007,0.710189418
1101,10299,2008,0.65846092
1101,10299,2009,0.673601744
1101,10299,2010,0.697552549
1101,10299,2011,0.678335479
1101,10299,2012,0.718591319
1101,10299,2013,0.697604637
1101,10299,2014,0.680585471
1101,10299,2015,0.684021499
1101,10299,2016,0.696345331
1101,10299,2017,0.686927596
1101,10299,2018,0.687232151
1101,10300,1994,0.706820398
1101,10300,1995,0.732090949
1101,10300,1996,0.645363707
1101,10300,1997,0.686846106
1101,10300,1999,0.684262364
1101,10300,2000,0.596993167
1101,10300,2001,0.635582313
1101,10300,2002,0.661045882
1101,10300,2003,0.662655658
1101,10300,2004,0.63317929
1101,10300,2005,0.626652692
1101,10300,2006,0.613111846
1101,10300,2007,0.646547862
1101,10300,2008,0.636549604
1101,10300,2009,0.661206838
1101,10300,2010,0.676419848
1101,10300,2011,0.648282846
1101,10300,2012,0.69218503
1101,10300,2013,0.678920184
1101,10300,2014,0.656026107
1101,10300,2015,0.670550416
1101,10300,2016,0.656527427
1101,10300,2017,0.653368348
1101,10300,2018,0.67567479
1104,10307,1994,0.718312525
1104,10307,1995,0.757345224
1104,10307,1996,0.682605706
1104,10307,1997,0.722667054
1104,10307,1999,0.69294085
1104,10307,2000,0.722773812
1104,10307,2001,0.692792727
1104,10307,2002,0.696789714
1104,10307,2003,0.67913253
1104,10307,2004,0.65850125
1104,10307,2005,0.686198471
1104,10307,2006,0.65385667
1104,10307,2007,0.678071895
1104,10307,2008,0.678730174
1104,10307,2009,0.68281297
1104,10307,2010,0.710858426
1104,10307,2011,0.702397173
1104,10307,2012,0.70717843
1104,10307,2013,0.698430461
1104,10307,2014,0.681788999
1104,10307,2015,0.690305899
